sid,example_accuracy,example_f1,example_precision,example_recall,example_subset_accuracy,fold,label_accuracy_macro,label_accuracy_micro,label_f1_macro,label_f1_micro,label_precision_macro,label_precision_micro,label_recall_macro,label_recall_micro,model
res18-128_cnnfeat_fold1,0.6078,0.6422,0.6807,0.6078,0.5378,1,0.8627,0.8627,0.3742,0.6231,0.7279,0.6807,0.2519,0.5745,res18-128
res18-128_cnnfeat_fold10,0.6204,0.6530,0.6891,0.6204,0.5546,10,0.8669,0.8669,0.4363,0.6360,0.8620,0.6917,0.2920,0.5887,res18-128
res18-128_cnnfeat_fold2,0.5952,0.6327,0.6597,0.6078,0.5210,2,0.8557,0.8557,0.4150,0.6113,0.8426,0.6532,0.2753,0.5745,res18-128
res18-128_cnnfeat_fold3,0.5910,0.6258,0.6597,0.5952,0.5210,3,0.8557,0.8557,0.4410,0.6054,0.8050,0.6583,0.3037,0.5603,res18-128
res18-128_cnnfeat_fold4,0.5994,0.6346,0.6639,0.6078,0.5294,4,0.8557,0.8557,0.4208,0.6084,0.8099,0.6557,0.2842,0.5674,res18-128
res18-128_cnnfeat_fold5,0.6078,0.6426,0.6765,0.6120,0.5378,5,0.8599,0.8599,0.4259,0.6183,0.7974,0.6694,0.2906,0.5745,res18-128
res18-128_cnnfeat_fold6,0.5784,0.6150,0.6513,0.5826,0.5042,6,0.8529,0.8529,0.3771,0.5977,0.8798,0.6500,0.2400,0.5532,res18-128
res18-128_cnnfeat_fold7,0.6106,0.6426,0.6765,0.6120,0.5462,7,0.8613,0.8613,0.4209,0.6236,0.8096,0.6721,0.2844,0.5816,res18-128
res18-128_cnnfeat_fold8,0.6443,0.6775,0.7143,0.6443,0.5714,8,0.8768,0.8768,0.4318,0.6641,0.8293,0.7190,0.2919,0.6170,res18-128
res18-128_cnnfeat_fold9,0.6232,0.6572,0.6933,0.6246,0.5546,9,0.8669,0.8669,0.4528,0.6360,0.8270,0.6917,0.3118,0.5887,res18-128
res18-256_cnnfeat_fold1,0.5952,0.6277,0.6639,0.5952,0.5294,1,0.8571,0.8571,0.3698,0.6077,0.7262,0.6639,0.2480,0.5603,res18-256
res18-256_cnnfeat_fold10,0.6036,0.6361,0.6723,0.6036,0.5378,10,0.8599,0.8599,0.3933,0.6154,0.8955,0.6723,0.2520,0.5674,res18-256
res18-256_cnnfeat_fold2,0.5910,0.6253,0.6639,0.5910,0.5210,2,0.8571,0.8571,0.3662,0.6077,0.7222,0.6639,0.2453,0.5603,res18-256
res18-256_cnnfeat_fold3,0.5784,0.6108,0.6471,0.5784,0.5126,3,0.8515,0.8515,0.3617,0.5923,0.7205,0.6471,0.2414,0.5461,res18-256
res18-256_cnnfeat_fold4,0.5910,0.6253,0.6639,0.5910,0.5210,4,0.8571,0.8571,0.3863,0.6077,0.8906,0.6639,0.2467,0.5603,res18-256
res18-256_cnnfeat_fold5,0.5994,0.6338,0.6723,0.5994,0.5294,5,0.8599,0.8599,0.3676,0.6154,0.7224,0.6723,0.2465,0.5674,res18-256
res18-256_cnnfeat_fold6,0.5994,0.6338,0.6723,0.5994,0.5294,6,0.8599,0.8599,0.3693,0.6154,0.7241,0.6723,0.2479,0.5674,res18-256
res18-256_cnnfeat_fold7,0.5826,0.6169,0.6555,0.5826,0.5126,7,0.8543,0.8543,0.3632,0.6000,0.7214,0.6555,0.2427,0.5532,res18-256
res18-256_cnnfeat_fold8,0.5910,0.6253,0.6639,0.5910,0.5210,8,0.8571,0.8571,0.3678,0.6077,0.7232,0.6639,0.2467,0.5603,res18-256
res18-256_cnnfeat_fold9,0.6120,0.6483,0.6891,0.6120,0.5378,9,0.8655,0.8655,0.3963,0.6308,0.8959,0.6891,0.2545,0.5816,res18-256
res18-512_cnnfeat_fold1,0.5616,0.6040,0.6176,0.5910,0.4790,1,0.8375,0.8375,0.3188,0.5766,0.3272,0.5940,0.3108,0.5603,res18-512
res18-512_cnnfeat_fold10,0.5406,0.5952,0.5924,0.5980,0.4286,10,0.8333,0.8333,0.3291,0.5735,0.4248,0.5797,0.2686,0.5674,res18-512
res18-512_cnnfeat_fold2,0.5252,0.5721,0.5742,0.5700,0.4370,2,0.8277,0.8277,0.3103,0.5527,0.3380,0.5672,0.2868,0.5390,res18-512
res18-512_cnnfeat_fold3,0.5616,0.5867,0.6092,0.5658,0.5126,3,0.8375,0.8375,0.3257,0.5573,0.4315,0.6033,0.2615,0.5177,res18-512
res18-512_cnnfeat_fold4,0.5574,0.6204,0.6162,0.6246,0.4370,4,0.8333,0.8333,0.3357,0.5825,0.4308,0.5764,0.2750,0.5887,res18-512
res18-512_cnnfeat_fold5,0.5434,0.5924,0.5910,0.5938,0.4454,5,0.8319,0.8319,0.3971,0.5683,0.6136,0.5766,0.2935,0.5603,res18-512
res18-512_cnnfeat_fold6,0.5616,0.6084,0.6176,0.5994,0.4706,6,0.8403,0.8403,0.3989,0.5809,0.7856,0.6031,0.2674,0.5603,res18-512
res18-512_cnnfeat_fold7,0.6162,0.6582,0.6639,0.6527,0.5294,7,0.8571,0.8571,0.4354,0.6331,0.8007,0.6423,0.2990,0.6241,res18-512
res18-512_cnnfeat_fold8,0.5658,0.6106,0.6092,0.6120,0.4790,8,0.8417,0.8417,0.3856,0.5921,0.4836,0.6029,0.3207,0.5816,res18-512
res18-512_cnnfeat_fold9,0.5406,0.5948,0.5798,0.6106,0.4286,9,0.8291,0.8291,0.3609,0.5734,0.4411,0.5655,0.3054,0.5816,res18-512
res18-64_cnnfeat_fold1,0.5868,0.6230,0.6639,0.5868,0.5126,1,0.8571,0.8571,0.3843,0.6077,0.8875,0.6639,0.2453,0.5603,res18-64
res18-64_cnnfeat_fold10,0.5784,0.6145,0.6555,0.5784,0.5042,10,0.8543,0.8543,0.3577,0.6000,0.7146,0.6555,0.2386,0.5532,res18-64
res18-64_cnnfeat_fold2,0.5868,0.6230,0.6639,0.5868,0.5126,2,0.8571,0.8571,0.3609,0.6077,0.7165,0.6639,0.2412,0.5603,res18-64
res18-64_cnnfeat_fold3,0.6036,0.6398,0.6807,0.6036,0.5294,3,0.8627,0.8627,0.3892,0.6231,0.8890,0.6807,0.2491,0.5745,res18-64
res18-64_cnnfeat_fold4,0.5952,0.6314,0.6723,0.5952,0.5210,4,0.8599,0.8599,0.3840,0.6154,0.8850,0.6723,0.2452,0.5674,res18-64
res18-64_cnnfeat_fold5,0.6120,0.6483,0.6891,0.6120,0.5378,5,0.8655,0.8655,0.3925,0.6308,0.8905,0.6891,0.2517,0.5816,res18-64
res18-64_cnnfeat_fold6,0.5952,0.6314,0.6723,0.5952,0.5210,6,0.8599,0.8599,0.3822,0.6154,0.8843,0.6723,0.2438,0.5674,res18-64
res18-64_cnnfeat_fold7,0.6036,0.6398,0.6807,0.6036,0.5294,7,0.8627,0.8627,0.3891,0.6231,0.8880,0.6807,0.2491,0.5745,res18-64
res18-64_cnnfeat_fold8,0.5952,0.6314,0.6723,0.5952,0.5210,8,0.8599,0.8599,0.3822,0.6154,0.8843,0.6723,0.2438,0.5674,res18-64
res18-64_cnnfeat_fold9,0.5868,0.6230,0.6639,0.5868,0.5126,9,0.8571,0.8571,0.3609,0.6077,0.7166,0.6639,0.2412,0.5603,res18-64
slf_cnnfeat_fold1,0.6022,0.6395,0.6765,0.6064,0.5210,1,0.8627,0.8627,0.4288,0.6260,0.8383,0.6777,0.2881,0.5816,slf
slf_cnnfeat_fold10,0.6457,0.6820,0.7227,0.6457,0.5714,10,0.8768,0.8768,0.4599,0.6615,0.8382,0.7227,0.3168,0.6099,slf
slf_cnnfeat_fold2,0.6246,0.6591,0.6975,0.6246,0.5546,2,0.8711,0.8711,0.4407,0.6489,0.5803,0.7025,0.3553,0.6028,slf
slf_cnnfeat_fold3,0.6289,0.6651,0.7059,0.6289,0.5546,3,0.8711,0.8711,0.4458,0.6462,0.8448,0.7059,0.3028,0.5957,slf
slf_cnnfeat_fold4,0.6246,0.6679,0.7017,0.6373,0.5378,4,0.8697,0.8697,0.4233,0.6464,0.7266,0.6967,0.2986,0.6028,slf
slf_cnnfeat_fold5,0.6415,0.6759,0.7143,0.6415,0.5714,5,0.8754,0.8754,0.4164,0.6590,0.7032,0.7167,0.2958,0.6099,slf
slf_cnnfeat_fold6,0.6625,0.6989,0.7395,0.6625,0.5882,6,0.8824,0.8824,0.4736,0.6769,0.8482,0.7395,0.3285,0.6241,slf
slf_cnnfeat_fold7,0.6317,0.6698,0.7059,0.6373,0.5546,7,0.8725,0.8725,0.4505,0.6540,0.8213,0.7049,0.3104,0.6099,slf
slf_cnnfeat_fold8,0.6415,0.6797,0.7227,0.6415,0.5630,8,0.8768,0.8768,0.4417,0.6615,0.6743,0.7227,0.3284,0.6099,slf
slf_cnnfeat_fold9,0.6415,0.6806,0.7143,0.6499,0.5630,9,0.8754,0.8754,0.3855,0.6616,0.5399,0.7131,0.2997,0.6170,slf
